ID,Home_Longitude,Home_Latitude
518,104.040663,30.648805
519,104.038001,30.649286
520,104.099494,30.65764
521,104.085657,30.641685
522,104.063789,30.649935
523,104.035884,30.670077
524,104.062492,30.662229
525,104.056966,30.670356
526,104.041078,30.655206
527,104.03606,30.672232
528,104.049639,30.672258
529,104.036966,30.667721
530,104.079856,30.641432
531,104.067315,30.675384
532,104.05275,30.672418
533,104.055636,30.647969
534,104.040422,30.675355
535,104.078994,30.66705
536,104.0729,30.676811
537,104.05931,30.675917
538,104.047104,30.64725
539,104.074394,30.672231
540,104.063617,30.66598
541,104.037163,30.654405
542,104.073431,30.672038
543,104.058154,30.66682
544,104.068598,30.675776
545,104.057967,30.660819
546,104.057775,30.67233
547,104.060544,30.637597
548,104.06378,30.645498
549,104.034382,30.667941
550,104.045018,30.64145
551,104.07019,30.664645
552,104.045797,30.685479
553,104.058333,30.679111
554,104.081739,30.656883
555,104.061285,30.667993
556,104.067506,30.656196
557,104.054961,30.633663
558,104.056762,30.669804
559,104.058096,30.67769
560,104.062347,30.676383
561,104.079083,30.660525
562,104.03722,30.666759
563,104.080083,30.647334
564,104.059605,30.646026
565,104.050467,30.639656
566,104.035046,30.64944
567,104.055809,30.665335
568,104.086194,30.651722
569,104.05738,30.67894
570,104.08397,30.652303
571,104.075052,30.640477
572,104.064294,30.645311
573,104.033093,30.659281
574,104.093058,30.638009
575,104.079226,30.656356
576,104.070901,30.648303
577,104.053157,30.654857
578,104.043232,30.641815
579,104.048124,30.655163
580,104.04944,30.645995
581,104.033662,30.672469
582,104.04467,30.660917
583,104.045236,30.651998
584,104.045075,30.672808
585,104.080134,30.649418
586,104.074705,30.67327
587,104.069292,30.667453
588,104.060511,30.676689
589,104.082903,30.646839
590,104.034199,30.666038
591,104.080633,30.643542
592,104.07354,30.670641
593,104.063226,30.678241
594,104.074719,30.680412
595,104.06082,30.671859
596,104.077931,30.678863
597,104.040985,30.658024
598,104.053655,30.670757
599,104.0356,30.667508
600,104.058465,30.669711
601,104.071819,30.678014
602,104.087953,30.656743
603,104.065987,30.646996
604,104.068863,30.677903
605,104.066291,30.635377
606,104.077415,30.645934
607,104.089626,30.656313
608,104.049219,30.668121
609,104.062677,30.640265
610,104.046124,30.648333
611,104.048184,30.675114
612,104.055926,30.647133
613,104.063934,30.657397
614,104.068457,30.648871
615,104.078163,30.665263
616,104.048646,30.658809
617,104.040325,30.665885
618,104.057983,30.663896
619,104.06029,30.680624
620,104.076612,30.648475
621,104.060416,30.642115
622,104.054481,30.66444
623,104.071047,30.681895
624,104.077215,30.640964
625,104.072745,30.643374
626,104.037728,30.66488
627,104.05789,30.671143
628,104.033767,30.645729
629,104.038884,30.671412
630,104.057034,30.643849
631,104.089078,30.665875
632,104.047603,30.68051
633,104.076136,30.674428
634,104.053519,30.648963
635,104.074984,30.658886
636,104.054053,30.647352
637,104.064199,30.680458
638,104.04924,30.665957
639,104.069858,30.67396
640,104.08099,30.653099
641,104.05709,30.644625
642,104.088955,30.682972
643,104.079991,30.650711
644,104.08087,30.656585
645,104.04708,30.63629
646,104.04838,30.648277
647,104.084176,30.68787
648,104.072956,30.6384
649,104.08566,30.657269
650,104.051226,30.655618
651,104.039001,30.653309
652,104.080309,30.671775
653,104.082482,30.665848
654,104.047086,30.67153
655,104.032959,30.670346
656,104.034937,30.636932
657,104.075915,30.678512
658,104.080148,30.644997
659,104.072275,30.653623
660,104.075235,30.663317
661,104.056457,30.650982
662,104.045657,30.656444
663,104.046281,30.677859
664,104.087251,30.637976
665,104.076104,30.657688
666,104.041927,30.659019
667,104.036842,30.650135
668,104.066772,30.664431
669,104.083515,30.655486
670,104.058699,30.676167
671,104.063954,30.677151
672,104.054172,30.660899
673,104.073853,30.674206
674,104.063012,30.668139
675,104.060529,30.658595
676,104.04213,30.679784
677,104.073973,30.652195
678,104.077027,30.640683
679,104.040599,30.649978
680,104.047208,30.682811
681,104.04811,30.648748
682,104.097593,30.642689
683,104.063668,30.670418
684,104.071705,30.667913
685,104.068251,30.633589
686,104.092298,30.648149
687,104.047577,30.678398
688,104.052837,30.675116
689,104.07919,30.660198
690,104.077921,30.667396
691,104.040942,30.644154
692,104.033493,30.652228
693,104.078759,30.639021
694,104.076836,30.638249
695,104.07829,30.666733
696,104.047023,30.675133
697,104.083281,30.644269
698,104.069459,30.672939
699,104.054194,30.650213
700,104.076826,30.673462
701,104.068635,30.672752
